id,date,store_nbr,family,sales,onpromotion
0,2017-01-01,1,GROCERY I,824,38
1,2017-01-01,1,BEVERAGES,952,7
2,2017-01-01,1,PRODUCE,581,20
3,2017-01-01,1,CLEANING,290,10
4,2017-01-01,1,DAIRY,416,10
5,2017-01-01,2,GROCERY I,831,23
6,2017-01-01,2,BEVERAGES,744,2
7,2017-01-01,2,PRODUCE,643,20
8,2017-01-01,2,CLEANING,529,32
9,2017-01-01,2,DAIRY,615,43
10,2017-01-01,3,GROCERY I,821,24
11,2017-01-01,3,BEVERAGES,966,41
12,2017-01-01,3,PRODUCE,687,27
13,2017-01-01,3,CLEANING,599,43
14,2017-01-01,3,DAIRY,345,2
15,2017-01-01,4,GROCERY I,663,8
16,2017-01-01,4,BEVERAGES,855,38
17,2017-01-01,4,PRODUCE,739,25
18,2017-01-01,4,CLEANING,185,1
19,2017-01-01,4,DAIRY,471,6
20,2017-01-01,5,GROCERY I,876,43
21,2017-01-01,5,BEVERAGES,929,13
22,2017-01-01,5,PRODUCE,625,16
23,2017-01-01,5,CLEANING,161,1
24,2017-01-01,5,DAIRY,369,5
25,2017-01-02,1,GROCERY I,640,28
26,2017-01-02,1,BEVERAGES,1004,17
27,2017-01-02,1,PRODUCE,940,47
28,2017-01-02,1,CLEANING,335,14
29,2017-01-02,1,DAIRY,431,15
30,2017-01-02,2,GROCERY I,1017,44
31,2017-01-02,2,BEVERAGES,963,25
32,2017-01-02,2,PRODUCE,667,24
33,2017-01-02,2,CLEANING,529,40
34,2017-01-02,2,DAIRY,614,28
35,2017-01-02,3,GROCERY I,928,34
36,2017-01-02,3,BEVERAGES,1005,34
37,2017-01-02,3,PRODUCE,435,6
38,2017-01-02,3,CLEANING,219,8
39,2017-01-02,3,DAIRY,835,47
40,2017-01-02,4,GROCERY I,841,22
41,2017-01-02,4,BEVERAGES,1427,43
42,2017-01-02,4,PRODUCE,826,39
43,2017-01-02,4,CLEANING,472,34
44,2017-01-02,4,DAIRY,603,36
45,2017-01-02,5,GROCERY I,708,13
46,2017-01-02,5,BEVERAGES,1155,38
47,2017-01-02,5,PRODUCE,632,31
48,2017-01-02,5,CLEANING,685,38
49,2017-01-02,5,DAIRY,268,3
50,2017-01-03,1,GROCERY I,819,29
51,2017-01-03,1,BEVERAGES,775,14
52,2017-01-03,1,PRODUCE,949,42
53,2017-01-03,1,CLEANING,502,27
54,2017-01-03,1,DAIRY,221,1
55,2017-01-03,2,GROCERY I,639,5
56,2017-01-03,2,BEVERAGES,985,27
57,2017-01-03,2,PRODUCE,731,29
58,2017-01-03,2,CLEANING,269,10
59,2017-01-03,2,DAIRY,518,24
60,2017-01-03,3,GROCERY I,854,38
61,2017-01-03,3,BEVERAGES,1133,26
62,2017-01-03,3,PRODUCE,307,12
63,2017-01-03,3,CLEANING,573,36
64,2017-01-03,3,DAIRY,599,32
65,2017-01-03,4,GROCERY I,559,14
66,2017-01-03,4,BEVERAGES,1411,31
67,2017-01-03,4,PRODUCE,893,48
68,2017-01-03,4,CLEANING,646,48
69,2017-01-03,4,DAIRY,630,38
70,2017-01-03,5,GROCERY I,434,1
71,2017-01-03,5,BEVERAGES,1033,16
72,2017-01-03,5,PRODUCE,874,48
73,2017-01-03,5,CLEANING,433,22
74,2017-01-03,5,DAIRY,734,36
75,2017-01-04,1,GROCERY I,367,1
76,2017-01-04,1,BEVERAGES,1544,43
77,2017-01-04,1,PRODUCE,274,3
78,2017-01-04,1,CLEANING,247,10
79,2017-01-04,1,DAIRY,629,37
80,2017-01-04,2,GROCERY I,765,23
81,2017-01-04,2,BEVERAGES,1006,21
82,2017-01-04,2,PRODUCE,540,10
83,2017-01-04,2,CLEANING,301,8
84,2017-01-04,2,DAIRY,397,5
85,2017-01-04,3,GROCERY I,893,35
86,2017-01-04,3,BEVERAGES,1122,18
87,2017-01-04,3,PRODUCE,638,19
88,2017-01-04,3,CLEANING,527,31
89,2017-01-04,3,DAIRY,541,39
90,2017-01-04,4,GROCERY I,616,0
91,2017-01-04,4,BEVERAGES,1429,49
92,2017-01-04,4,PRODUCE,769,22
93,2017-01-04,4,CLEANING,275,6
94,2017-01-04,4,DAIRY,463,15
95,2017-01-04,5,GROCERY I,1110,48
96,2017-01-04,5,BEVERAGES,970,1
97,2017-01-04,5,PRODUCE,492,8
98,2017-01-04,5,CLEANING,651,40
99,2017-01-04,5,DAIRY,267,2
100,2017-01-05,1,GROCERY I,715,19
101,2017-01-05,1,BEVERAGES,1085,23
102,2017-01-05,1,PRODUCE,568,10
103,2017-01-05,1,CLEANING,741,47
104,2017-01-05,1,DAIRY,550,24
105,2017-01-05,2,GROCERY I,718,34
106,2017-01-05,2,BEVERAGES,949,15
107,2017-01-05,2,PRODUCE,839,47
108,2017-01-05,2,CLEANING,443,19
109,2017-01-05,2,DAIRY,275,2
110,2017-01-05,3,GROCERY I,701,16
111,2017-01-05,3,BEVERAGES,708,21
112,2017-01-05,3,PRODUCE,680,21
113,2017-01-05,3,CLEANING,450,26
114,2017-01-05,3,DAIRY,560,26
115,2017-01-05,4,GROCERY I,915,27
116,2017-01-05,4,BEVERAGES,1034,46
117,2017-01-05,4,PRODUCE,867,47
118,2017-01-05,4,CLEANING,439,18
119,2017-01-05,4,DAIRY,483,16
120,2017-01-05,5,GROCERY I,907,43
121,2017-01-05,5,BEVERAGES,1314,40
122,2017-01-05,5,PRODUCE,750,36
123,2017-01-05,5,CLEANING,529,30
124,2017-01-05,5,DAIRY,583,34
125,2017-01-06,1,GROCERY I,760,32
126,2017-01-06,1,BEVERAGES,854,2
127,2017-01-06,1,PRODUCE,600,30
128,2017-01-06,1,CLEANING,184,2
129,2017-01-06,1,DAIRY,619,31
130,2017-01-06,2,GROCERY I,1065,46
131,2017-01-06,2,BEVERAGES,968,16
132,2017-01-06,2,PRODUCE,876,39
133,2017-01-06,2,CLEANING,712,47
134,2017-01-06,2,DAIRY,734,38
135,2017-01-06,3,GROCERY I,779,34
136,2017-01-06,3,BEVERAGES,1372,49
137,2017-01-06,3,PRODUCE,1148,44
138,2017-01-06,3,CLEANING,443,19
139,2017-01-06,3,DAIRY,509,15
140,2017-01-06,4,GROCERY I,598,13
141,2017-01-06,4,BEVERAGES,1191,27
142,2017-01-06,4,PRODUCE,743,33
143,2017-01-06,4,CLEANING,375,21
144,2017-01-06,4,DAIRY,548,24
145,2017-01-06,5,GROCERY I,994,48
146,2017-01-06,5,BEVERAGES,1134,41
147,2017-01-06,5,PRODUCE,847,36
148,2017-01-06,5,CLEANING,498,32
149,2017-01-06,5,DAIRY,776,43
150,2017-01-07,1,GROCERY I,661,4
151,2017-01-07,1,BEVERAGES,1085,31
152,2017-01-07,1,PRODUCE,861,29
153,2017-01-07,1,CLEANING,375,15
154,2017-01-07,1,DAIRY,413,12
155,2017-01-07,2,GROCERY I,631,18
156,2017-01-07,2,BEVERAGES,932,27
157,2017-01-07,2,PRODUCE,717,25
158,2017-01-07,2,CLEANING,491,22
159,2017-01-07,2,DAIRY,259,0
160,2017-01-07,3,GROCERY I,345,0
161,2017-01-07,3,BEVERAGES,1215,47
162,2017-01-07,3,PRODUCE,539,24
163,2017-01-07,3,CLEANING,386,15
164,2017-01-07,3,DAIRY,632,38
165,2017-01-07,4,GROCERY I,972,28
166,2017-01-07,4,BEVERAGES,703,2
167,2017-01-07,4,PRODUCE,657,36
168,2017-01-07,4,CLEANING,427,21
169,2017-01-07,4,DAIRY,456,11
170,2017-01-07,5,GROCERY I,648,15
171,2017-01-07,5,BEVERAGES,1030,38
172,2017-01-07,5,PRODUCE,729,35
173,2017-01-07,5,CLEANING,370,22
174,2017-01-07,5,DAIRY,390,9
175,2017-01-08,1,GROCERY I,615,4
176,2017-01-08,1,BEVERAGES,1207,44
177,2017-01-08,1,PRODUCE,714,31
178,2017-01-08,1,CLEANING,484,26
179,2017-01-08,1,DAIRY,701,34
180,2017-01-08,2,GROCERY I,1033,32
181,2017-01-08,2,BEVERAGES,847,36
182,2017-01-08,2,PRODUCE,545,11
183,2017-01-08,2,CLEANING,285,9
184,2017-01-08,2,DAIRY,736,42
185,2017-01-08,3,GROCERY I,597,16
186,2017-01-08,3,BEVERAGES,1191,25
187,2017-01-08,3,PRODUCE,612,25
188,2017-01-08,3,CLEANING,528,33
189,2017-01-08,3,DAIRY,687,49
190,2017-01-08,4,GROCERY I,984,44
191,2017-01-08,4,BEVERAGES,1137,35
192,2017-01-08,4,PRODUCE,624,9
193,2017-01-08,4,CLEANING,465,34
194,2017-01-08,4,DAIRY,743,48
195,2017-01-08,5,GROCERY I,1018,48
196,2017-01-08,5,BEVERAGES,1346,38
197,2017-01-08,5,PRODUCE,728,31
198,2017-01-08,5,CLEANING,590,36
199,2017-01-08,5,DAIRY,453,22
200,2017-01-09,1,GROCERY I,677,24
201,2017-01-09,1,BEVERAGES,1065,48
202,2017-01-09,1,PRODUCE,548,19
203,2017-01-09,1,CLEANING,417,18
204,2017-01-09,1,DAIRY,755,48
205,2017-01-09,2,GROCERY I,868,27
206,2017-01-09,2,BEVERAGES,897,13
207,2017-01-09,2,PRODUCE,1021,46
208,2017-01-09,2,CLEANING,278,15
209,2017-01-09,2,DAIRY,513,24
210,2017-01-09,3,GROCERY I,777,20
211,2017-01-09,3,BEVERAGES,1286,38
212,2017-01-09,3,PRODUCE,865,44
213,2017-01-09,3,CLEANING,367,10
214,2017-01-09,3,DAIRY,475,17
215,2017-01-09,4,GROCERY I,878,37
216,2017-01-09,4,BEVERAGES,629,6
217,2017-01-09,4,PRODUCE,449,8
218,2017-01-09,4,CLEANING,626,49
219,2017-01-09,4,DAIRY,374,7
220,2017-01-09,5,GROCERY I,998,47
221,2017-01-09,5,BEVERAGES,1210,44
222,2017-01-09,5,PRODUCE,536,3
223,2017-01-09,5,CLEANING,341,18
224,2017-01-09,5,DAIRY,607,43
225,2017-01-10,1,GROCERY I,907,25
226,2017-01-10,1,BEVERAGES,976,18
227,2017-01-10,1,PRODUCE,439,12
228,2017-01-10,1,CLEANING,662,49
229,2017-01-10,1,DAIRY,567,27
230,2017-01-10,2,GROCERY I,602,7
231,2017-01-10,2,BEVERAGES,667,0
232,2017-01-10,2,PRODUCE,459,2
233,2017-01-10,2,CLEANING,683,48
234,2017-01-10,2,DAIRY,519,24
235,2017-01-10,3,GROCERY I,595,5
236,2017-01-10,3,BEVERAGES,1237,43
237,2017-01-10,3,PRODUCE,891,46
238,2017-01-10,3,CLEANING,393,20
239,2017-01-10,3,DAIRY,497,18
240,2017-01-10,4,GROCERY I,619,19
241,2017-01-10,4,BEVERAGES,645,0
242,2017-01-10,4,PRODUCE,411,2
243,2017-01-10,4,CLEANING,509,27
244,2017-01-10,4,DAIRY,397,7
245,2017-01-10,5,GROCERY I,465,7
246,2017-01-10,5,BEVERAGES,1162,49
247,2017-01-10,5,PRODUCE,642,35
248,2017-01-10,5,CLEANING,473,26
249,2017-01-10,5,DAIRY,732,32
250,2017-01-11,1,GROCERY I,538,19
251,2017-01-11,1,BEVERAGES,1028,12
252,2017-01-11,1,PRODUCE,984,45
253,2017-01-11,1,CLEANING,370,24
254,2017-01-11,1,DAIRY,236,1
255,2017-01-11,2,GROCERY I,838,32
256,2017-01-11,2,BEVERAGES,854,0
257,2017-01-11,2,PRODUCE,498,10
258,2017-01-11,2,CLEANING,375,20
259,2017-01-11,2,DAIRY,646,26
260,2017-01-11,3,GROCERY I,968,48
261,2017-01-11,3,BEVERAGES,1338,34
262,2017-01-11,3,PRODUCE,427,0
263,2017-01-11,3,CLEANING,316,4
264,2017-01-11,3,DAIRY,679,37
265,2017-01-11,4,GROCERY I,940,36
266,2017-01-11,4,BEVERAGES,817,9
267,2017-01-11,4,PRODUCE,579,13
268,2017-01-11,4,CLEANING,225,8
269,2017-01-11,4,DAIRY,812,48
270,2017-01-11,5,GROCERY I,736,39
271,2017-01-11,5,BEVERAGES,1074,7
272,2017-01-11,5,PRODUCE,799,38
273,2017-01-11,5,CLEANING,301,2
274,2017-01-11,5,DAIRY,800,49
275,2017-01-12,1,GROCERY I,655,4
276,2017-01-12,1,BEVERAGES,1050,29
277,2017-01-12,1,PRODUCE,947,47
278,2017-01-12,1,CLEANING,715,46
279,2017-01-12,1,DAIRY,406,13
280,2017-01-12,2,GROCERY I,530,1
281,2017-01-12,2,BEVERAGES,1297,49
282,2017-01-12,2,PRODUCE,795,33
283,2017-01-12,2,CLEANING,612,33
284,2017-01-12,2,DAIRY,721,37
285,2017-01-12,3,GROCERY I,779,29
286,2017-01-12,3,BEVERAGES,937,41
287,2017-01-12,3,PRODUCE,625,23
288,2017-01-12,3,CLEANING,239,4
289,2017-01-12,3,DAIRY,444,12
290,2017-01-12,4,GROCERY I,738,42
291,2017-01-12,4,BEVERAGES,1406,46
292,2017-01-12,4,PRODUCE,649,22
293,2017-01-12,4,CLEANING,552,39
294,2017-01-12,4,DAIRY,374,3
295,2017-01-12,5,GROCERY I,490,2
296,2017-01-12,5,BEVERAGES,902,26
297,2017-01-12,5,PRODUCE,620,18
298,2017-01-12,5,CLEANING,378,20
299,2017-01-12,5,DAIRY,462,21
300,2017-01-13,1,GROCERY I,868,20
301,2017-01-13,1,BEVERAGES,1291,11
302,2017-01-13,1,PRODUCE,552,25
303,2017-01-13,1,CLEANING,403,25
304,2017-01-13,1,DAIRY,718,46
305,2017-01-13,2,GROCERY I,811,29
306,2017-01-13,2,BEVERAGES,1356,42
307,2017-01-13,2,PRODUCE,830,48
308,2017-01-13,2,CLEANING,518,34
309,2017-01-13,2,DAIRY,475,21
310,2017-01-13,3,GROCERY I,478,13
311,2017-01-13,3,BEVERAGES,1248,23
312,2017-01-13,3,PRODUCE,478,1
313,2017-01-13,3,CLEANING,620,46
314,2017-01-13,3,DAIRY,704,22
315,2017-01-13,4,GROCERY I,1051,44
316,2017-01-13,4,BEVERAGES,1213,17
